nm_servico,tipo_compra,quantidade_captada,vl_preco
Banho,AQUISIÇÃO,1,35.0
Banho,AQUISIÇÃO,1,86.0
Banho,AQUISIÇÃO,1,77.0
Banho,AQUISIÇÃO,1,59.0
Fisioterapia,AQUISIÇÃO,1,96.0
Acupuntura,AQUISIÇÃO,1,130.0
Acupuntura,AQUISIÇÃO,1,130.0
Fisioterapia,AQUISIÇÃO,1,160.0
Fisioterapia,AQUISIÇÃO,1,101.0
Fisioterapia,AQUISIÇÃO,8,198.0
Fisioterapia,AQUISIÇÃO,8,175.0
Banho,AQUISIÇÃO,1,46.0
Banho,AQUISIÇÃO,1,46.0
Acupuntura,AQUISIÇÃO,1,118.0
Acupuntura,AQUISIÇÃO,1,153.0
Banho,AQUISIÇÃO,1,135.0
Banho,AQUISIÇÃO,1,79.0
Banho,AQUISIÇÃO,1,186.0
Banho,AQUISIÇÃO,1,47.0
Banho,AQUISIÇÃO,1,56.0
Banho,AQUISIÇÃO,1,58.0
Banho,AQUISIÇÃO,1,66.0
Banho,AQUISIÇÃO,1,66.0
Banho,AQUISIÇÃO,1,109.9
Banho,AQUISIÇÃO,4,69.5
Banho,RENOVAÇÃO,2,62.0
Banho,AQUISIÇÃO,1,52.0
Banho,RENOVAÇÃO,1,52.0
Banho,RENOVAÇÃO,1,52.0
Banho,RENOVAÇÃO,1,52.0
Banho,RENOVAÇÃO,1,52.0
Banho,AQUISIÇÃO,1,52.0
Banho,RENOVAÇÃO,2,62.0
Banho,AQUISIÇÃO,2,62.0
Banho,RENOVAÇÃO,2,62.0
Banho,RENOVAÇÃO,2,62.0
Fisioterapia,AQUISIÇÃO,1,118.0
Banho,AQUISIÇÃO,1,98.0
Fisioterapia,AQUISIÇÃO,1,154.5
Banho,RENOVAÇÃO,1,52.0
Banho,RENOVAÇÃO,1,52.0
Fisioterapia,RENOVAÇÃO,4,138.0
Fisioterapia,AQUISIÇÃO,4,138.0
Fisioterapia,AQUISIÇÃO,8,219.0
Banho,AQUISIÇÃO,1,98.0
Fisioterapia,AQUISIÇÃO,1,160.0
Banho,AQUISIÇÃO,1,74.0
Banho,AQUISIÇÃO,2,66.0
Banho,AQUISIÇÃO,1,46.0
Banho,AQUISIÇÃO,1,93.0
Banho,AQUISIÇÃO,1,86.66
Fisioterapia,AQUISIÇÃO,1,123.0
Fisioterapia,AQUISIÇÃO,1,138.0
Acupuntura,AQUISIÇÃO,2,153.0
Fisioterapia,AQUISIÇÃO,12,219.0
Banho,AQUISIÇÃO,1,74.0
Banho,AQUISIÇÃO,1,74.0
Banho,AQUISIÇÃO,2,47.0
Fisioterapia,AQUISIÇÃO,1,96.0
Acupuntura,AQUISIÇÃO,1,96.0
Banho,RENOVAÇÃO,2,99.0
Banho,AQUISIÇÃO,2,99.0
Banho,RENOVAÇÃO,1,43.0
Banho,RENOVAÇÃO,1,114.0
Banho,RENOVAÇÃO,1,102.0
Banho,AQUISIÇÃO,1,43.0
Banho,AQUISIÇÃO,1,102.0
Banho,AQUISIÇÃO,1,66.0
Fisioterapia,AQUISIÇÃO,1,92.0
Acupuntura,AQUISIÇÃO,1,92.0
Banho,AQUISIÇÃO,1,79.2
Banho,AQUISIÇÃO,1,79.2
Banho,AQUISIÇÃO,1,79.2
Banho,AQUISIÇÃO,1,99.0
Banho,AQUISIÇÃO,1,99.0
Fisioterapia,AQUISIÇÃO,1,132.0
Banho,AQUISIÇÃO,4,66.0
Fisioterapia,AQUISIÇÃO,1,139.0
Fisioterapia,AQUISIÇÃO,1,154.0
Acupuntura,AQUISIÇÃO,4,87.5
Banho,AQUISIÇÃO,1,114.0
Banho,AQUISIÇÃO,1,98.0
Fisioterapia,AQUISIÇÃO,4,186.0
Fisioterapia,AQUISIÇÃO,8,135.0
Banho,RENOVAÇÃO,4,66.0
Banho,AQUISIÇÃO,1,102.0
Banho,AQUISIÇÃO,1,78.0
Banho,AQUISIÇÃO,1,78.0
Banho,AQUISIÇÃO,1,35.0
